"","Setting","rep","alpha","beta","gamma","y.mean","Truth","Unadjusted","PSReg","PSS","IPW","IPW2"
"result.15",8,15,-1,8,-4.85,0.26821495369419,-0.165167658234734,-0.0873186917190776,-0.098690209913549,-0.0986583549283074,-0.119299190348001,-0.0988704424240586
"result.16",8,16,-1,8,-4.85,0.267936317756423,-0.165167658234734,-0.0856550188555846,-0.0976041374868331,-0.0970148386703926,-0.118444589372699,-0.0980733150864371
"result.17",8,17,-1,8,-4.85,0.268636390550062,-0.165167658234734,-0.0892278291834791,-0.100871477552065,-0.100795034065542,-0.121641309722144,-0.101248799415985
"result.18",8,18,-1,8,-4.85,0.268915026487829,-0.165167658234734,-0.089941547340479,-0.101926979892232,-0.101750686865508,-0.122475586500633,-0.102035904878491
"result.19",8,19,-1,8,-4.85,0.267852726975093,-0.165167658234734,-0.0891946214913476,-0.100244452507295,-0.100049145654139,-0.120814472439326,-0.100475577028925
"result.20",8,20,-1,8,-4.85,0.269155349984153,-0.165167658234734,-0.0870959064131343,-0.0989299841738016,-0.0984109608005907,-0.11971046540372,-0.0992605061338896
"result.21",8,21,-1,8,-4.85,0.267772619142986,-0.165167658234734,-0.0910512134071593,-0.10394268666024,-0.103515272271515,-0.124664172531301,-0.104331465171895
"result.22",8,22,-1,8,-4.85,0.26773082375232,-0.165167658234734,-0.0899571806834073,-0.102351084799431,-0.101707905605431,-0.122927705687281,-0.102586719470043
"result.23",8,23,-1,8,-4.85,0.267041199806348,-0.165167658234734,-0.0862387808718216,-0.0984081186670252,-0.098260343443664,-0.118657692455341,-0.0983711506051679
"result.24",8,24,-1,8,-4.85,0.267417358322333,-0.165167658234734,-0.0885971971108793,-0.100642851783164,-0.100484296953935,-0.121351485387945,-0.101015754951075
"result.25",8,25,-1,8,-4.85,0.267518363849773,-0.165167658234734,-0.0852619828445687,-0.0966111851524879,-0.096527157007437,-0.117386367398743,-0.0970851900909399
"result.26",8,26,-1,8,-4.85,0.26704468275557,-0.165167658234734,-0.0877688522473615,-0.099378674092136,-0.099087867920913,-0.119914753539785,-0.0996029727508811
"result.27",8,27,-1,8,-4.85,0.267326801642559,-0.165167658234734,-0.0873304167262738,-0.0995036560245646,-0.0993720985949688,-0.120093840950855,-0.0997970273024151
"result.28",8,28,-1,8,-4.85,0.267096926993901,-0.165167658234734,-0.0874320626492256,-0.100296755471124,-0.100019782167422,-0.120991637574347,-0.100689216349013
"result.29",8,29,-1,8,-4.85,0.268270680881743,-0.165167658234734,-0.0878414172330748,-0.0992256340080925,-0.099068504111937,-0.119830641996365,-0.0994899229702309
"result.30",8,30,-1,8,-4.85,0.267845761076649,-0.165167658234734,-0.0891799217699073,-0.100245309684632,-0.0999988411501877,-0.120965928148381,-0.100617282936876
"result.31",8,31,-1,8,-4.85,0.267069063400125,-0.165167658234734,-0.0878622110388653,-0.0992479986937559,-0.0989549106373778,-0.119929562554747,-0.0996624987911521
